"state","county","year","party","votes"
"GA","Stephens",2000,"dem",2869
"GA","Stewart",2000,"dem",1267
"GA","Sumter",2000,"dem",4748
"GA","Talbot",2000,"dem",1662
"GA","Taliaferro",2000,"dem",556
"GA","Tattnall",2000,"dem",1963
"GA","Taylor",2000,"dem",1340
"GA","Telfair",2000,"dem",1777
"GA","Terrell",2000,"dem",1584
"GA","Thomas",2000,"dem",4862
"GA","Tift",2000,"dem",3547
"GA","Toombs",2000,"dem",2643
"GA","Towns",2000,"dem",1495
"GA","Treutlen",2000,"dem",879
"GA","Troup",2000,"dem",6379
"GA","Turner",2000,"dem",1169
"GA","Twiggs",2000,"dem",1977
"GA","Union",2000,"dem",2230
"GA","Upson",2000,"dem",3158
"GA","Walker",2000,"dem",6341
"GA","Walton",2000,"dem",5484
"GA","Ware",2000,"dem",3480
"GA","Warren",2000,"dem",1196
"GA","Washington",2000,"dem",3476
"GA","Wayne",2000,"dem",2736
"GA","Webster",2000,"dem",541
"GA","Wheeler",2000,"dem",752
"GA","White",2000,"dem",2014
"GA","Whitfield",2000,"dem",7034
"GA","Wilcox",2000,"dem",962
"GA","Wilkes",2000,"dem",1940
"GA","Wilkinson",2000,"dem",1884
"GA","Worth",2000,"dem",2214
"HI","Federal Overseas",2000,"dem",44
"HI","Hawaii",2000,"dem",233956
"HI","Honolulu",2000,"dem",139618
"HI","Kauai",2000,"dem",13470
"HI","Maui",2000,"dem",23484
"ID","Ada",2000,"dem",40650
"ID","Adams",2000,"dem",336
"ID","Bannock",2000,"dem",10892
"ID","Bear Lake",2000,"dem",517
"ID","Benewah",2000,"dem",895
"ID","Bingham",2000,"dem",3310
"ID","Blaine",2000,"dem",3748
"ID","Boise",2000,"dem",745
"ID","Bonner",2000,"dem",4318
"ID","Bonneville",2000,"dem",7235
"ID","Boundary",2000,"dem",832
"ID","Butte",2000,"dem",354
"ID","Camas",2000,"dem",113
"ID","Canyon",2000,"dem",10588
"ID","Caribou",2000,"dem",475
"ID","Cassia",2000,"dem",1087
"ID","Clark",2000,"dem",63
"ID","Clearwater",2000,"dem",841
"ID","Custer",2000,"dem",416
"ID","Elmore",2000,"dem",1840
"ID","Franklin",2000,"dem",513
"ID","Fremont",2000,"dem",699
"ID","Gem",2000,"dem",1346
"ID","Gooding",2000,"dem",1282
"ID","Idaho",2000,"dem",1187
"ID","Jefferson",2000,"dem",1100
"ID","Jerome",2000,"dem",1360
"ID","Kootenai",2000,"dem",13488
"ID","Latah",2000,"dem",5661
"ID","Lemhi",2000,"dem",660
"ID","Lewis",2000,"dem",335
"ID","Lincoln",2000,"dem",437
"ID","Madison",2000,"dem",816
"ID","Minidoka",2000,"dem",1344
"ID","Nez Perce",2000,"dem",4995
"ID","Oneida",2000,"dem",307
"ID","Owyhee",2000,"dem",623
"ID","Payette",2000,"dem",1643
"ID","Power",2000,"dem",755
"ID","Shoshone",2000,"dem",2225
"ID","Teton",2000,"dem",720
"ID","Twin Falls",2000,"dem",5777
"ID","Valley",2000,"dem",1129
"ID","Washington",2000,"dem",980
"IL","Adams",2000,"dem",12197
"IL","Alexander",2000,"dem",2357
"IL","Bond",2000,"dem",3060
"IL","Boone",2000,"dem",6481
"IL","Brown",2000,"dem",1077
"IL","Bureau",2000,"dem",7754
"IL","Calhoun",2000,"dem",1310
"IL","Carroll",2000,"dem",3113
"IL","Cass",2000,"dem",2789
"IL","Champaign",2000,"dem",35515
"IL","Christian",2000,"dem",6799
"IL","Clark",2000,"dem",2932
"IL","Clay",2000,"dem",2212
"IL","Clinton",2000,"dem",6436
"IL","Coles",2000,"dem",8904
"IL","Cook",2000,"dem",1280547
"IL","Crawford",2000,"dem",3333
"IL","Cumberland",2000,"dem",1870
"IL","DeKalb",2000,"dem",14798
"IL","DeWitt",2000,"dem",2870
"IL","Douglas",2000,"dem",3215
"IL","DuPage",2000,"dem",152550
"IL","Edgar",2000,"dem",3216
"IL","Edwards",2000,"dem",978
"IL","Effingham",2000,"dem",4225
"IL","Fayette",2000,"dem",3886
"IL","Ford",2000,"dem",2090
"IL","Franklin",2000,"dem",10201
"IL","Fulton",2000,"dem",8940
"IL","Gallatin",2000,"dem",1878
"IL","Greene",2000,"dem",2490
"IL","Grundy",2000,"dem",7516
"IL","Hamilton",2000,"dem",1943
"IL","Hancock",2000,"dem",4256
"IL","Hardin",2000,"dem",1184
"IL","Henderson",2000,"dem",2030
"IL","Henry",2000,"dem",11921
"IL","Iroquois",2000,"dem",4397
"IL","Jackson",2000,"dem",11773
"IL","Jasper",2000,"dem",1815
"IL","Jefferson",2000,"dem",6685
"IL","Jersey",2000,"dem",4355
"IL","Jo Daviess",2000,"dem",4585
"IL","Johnson",2000,"dem",1928
"IL","Kane",2000,"dem",60127
"IL","Kankakee",2000,"dem",19180
"IL","Kendall",2000,"dem",8444
"IL","Knox",2000,"dem",12572
"IL","Lake",2000,"dem",115058
"IL","LaSalle",2000,"dem",23355
"IL","Lawrence",2000,"dem",2822
"IL","Lee",2000,"dem",6111
"IL","Livingston",2000,"dem",5829
"IL","Logan",2000,"dem",4600
"IL","Macon",2000,"dem",24262
"IL","Macoupin",2000,"dem",11015
"IL","Madison",2000,"dem",59077
"IL","Marion",2000,"dem",8068
"IL","Marshall",2000,"dem",2570
"IL","Mason",2000,"dem",3192
"IL","Massac",2000,"dem",2912
"IL","McDonough",2000,"dem",6080
"IL","McHenry",2000,"dem",40698
"IL","McLean",2000,"dem",24936
"IL","Menard",2000,"dem",2164
"IL","Mercer",2000,"dem",4400
"IL","Monroe",2000,"dem",5797
"IL","Montgomery",2000,"dem",6542
"IL","Morgan",2000,"dem",5899
"IL","Moultrie",2000,"dem",2529
"IL","Ogle",2000,"dem",7673
"IL","Peoria",2000,"dem",38604
"IL","Perry",2000,"dem",4862
"IL","Piatt",2000,"dem",3488
"IL","Pike",2000,"dem",3198
"IL","Pope",2000,"dem",927
"IL","Pulaski",2000,"dem",1518
"IL","Putnam",2000,"dem",1657
"IL","Randolph",2000,"dem",6794
"IL","Richland",2000,"dem",2491
"IL","Rock Island",2000,"dem",37957
"IL","Saline",2000,"dem",5427
"IL","Sangamon",2000,"dem",38414
"IL","Schuyler",2000,"dem",1587
"IL","Scott",2000,"dem",954
"IL","Shelby",2000,"dem",4018
"IL","St0 Clair",2000,"dem",55961
"IL","Stark",2000,"dem",1211
"IL","Stephenson",2000,"dem",8062
"IL","Tazewell",2000,"dem",25379
"IL","Union",2000,"dem",3982
"IL","Vermilion",2000,"dem",15406
"IL","Wabash",2000,"dem",1987
"IL","Warren",2000,"dem",3524
"IL","Washington",2000,"dem",2638
"IL","Wayne",2000,"dem",2209
"IL","White",2000,"dem",2958
"IL","Whiteside",2000,"dem",12886
"IL","Will",2000,"dem",90902
"IL","Williamson",2000,"dem",12192
"IL","Winnebago",2000,"dem",51981
"IL","Woodford",2000,"dem",5529
"IN","Adams",2000,"dem",3775
"IN","Allen",2000,"dem",41636
"IN","Bartholomew",2000,"dem",9015
"IN","Benton",2000,"dem",1328
"IN","Blackford",2000,"dem",2103
"IN","Boone",2000,"dem",4763
"IN","Brown",2000,"dem",2608
"IN","Carroll",2000,"dem",2965
