STATE,COUNTY,BUSH,GORE,NADER,BUCHANAN,BROWNE,PHILLIPS,WRITEINS,HAGELIN,MCREYNOLDS,HARRIS,DODGE,NOTA,MOOREHEAD,BROWN,VENSON,YOUNGKEIT,LANE,OTHER
"Arizona","Yuma",15708,12055,495,216,157,0,0,21,0,0,0,0,0,0,0,0,0,889
"Arkansas","Arkansas",3353,2877,65,41,19,8,0,9,0,0,0,0,0,0,0,0,0,142
"Arkansas","Ashley",3876,4253,61,51,10,15,0,5,0,0,0,0,0,0,0,0,0,142
"Arkansas","Baxter",9538,6516,429,132,42,41,0,10,0,0,0,0,0,0,0,0,0,654
"Arkansas","Benton",34838,17277,862,368,175,54,0,72,0,0,0,0,0,0,0,0,0,1531
"Arkansas","Boone",8569,4493,289,187,37,31,0,29,0,0,0,0,0,0,0,0,0,573
"Arkansas","Bradley",1793,2122,34,19,6,3,0,2,0,0,0,0,0,0,0,0,0,64
"Arkansas","Calhoun",1128,1017,19,12,3,5,0,1,0,0,0,0,0,0,0,0,0,40
"Arkansas","Carroll",5556,3595,301,91,29,14,0,4,0,0,0,0,0,0,0,0,0,439
"Arkansas","Chicot",1564,2820,26,22,7,5,0,8,0,0,0,0,0,0,0,0,0,68
"Arkansas","Clark",3776,4661,103,64,8,8,0,6,0,0,0,0,0,0,0,0,0,189
"Arkansas","Clay",2254,3527,73,25,12,7,0,2,0,0,0,0,0,0,0,0,0,119
"Arkansas","Cleburne",5730,4120,183,116,18,25,0,15,0,0,0,0,0,0,0,0,0,357
"Arkansas","Cleveland",1678,1414,30,44,7,4,0,4,0,0,0,0,0,0,0,0,0,89
"Arkansas","Columbia",5018,4003,70,28,19,164,0,5,0,0,0,0,0,0,0,0,0,286
"Arkansas","Conway",3545,3496,84,78,23,3,0,5,0,0,0,0,0,0,0,0,0,193
"Arkansas","Craighead",12158,12376,409,122,52,31,0,9,0,0,0,0,0,0,0,0,0,623
"Arkansas","Crawford",10804,6288,223,191,86,24,0,9,0,0,0,0,0,0,0,0,0,533
"Arkansas","Crittenden",5857,7224,97,27,24,3,0,2,0,0,0,0,0,0,0,0,0,153
"Arkansas","Cross",3033,3096,38,30,10,4,0,4,0,0,0,0,0,0,0,0,0,86
"Arkansas","Dallas",1571,1710,21,16,4,0,0,3,0,0,0,0,0,0,0,0,0,44
"Arkansas","Desha",1603,2776,38,21,6,18,0,33,0,0,0,0,0,0,0,0,0,116
"Arkansas","Drew",2756,3060,47,41,11,2,0,5,0,0,0,0,0,0,0,0,0,106
"Arkansas","Faulkner",16055,11950,513,432,112,39,0,115,0,0,0,0,0,0,0,0,0,1211
"Arkansas","Franklin",3277,2674,100,69,8,8,0,4,0,0,0,0,0,0,0,0,0,189
"Arkansas","Fulton",2036,1976,51,27,7,9,0,2,0,0,0,0,0,0,0,0,0,96
"Arkansas","Garland",19098,15840,566,268,103,28,0,32,0,0,0,0,0,0,0,0,0,997
"Arkansas","Grant",3285,2535,88,74,21,8,0,2,0,0,0,0,0,0,0,0,0,193
"Arkansas","Greene",5831,6319,205,79,26,14,0,10,0,0,0,0,0,0,0,0,0,334
"Arkansas","Hempstead",3257,3937,50,23,9,7,0,6,0,0,0,0,0,0,0,0,0,95
"Arkansas","Hot Spring",5042,5527,202,147,25,22,0,16,0,0,0,0,0,0,0,0,0,412
"Arkansas","Howard",2326,2063,50,7,3,5,0,5,0,0,0,0,0,0,0,0,0,70
"Arkansas","Independence",6145,5146,171,78,32,8,0,14,0,0,0,0,0,0,0,0,0,303
"Arkansas","Izard",2301,2587,76,50,10,6,0,2,0,0,0,0,0,0,0,0,0,144
"Arkansas","Jackson",2280,3651,77,46,11,3,0,4,0,0,0,0,0,0,0,0,0,141
"Arkansas","Jefferson",8765,17716,361,137,148,28,0,46,0,0,0,0,0,0,0,0,0,720
"Arkansas","Johnson",3657,3270,109,86,19,16,0,4,0,0,0,0,0,0,0,0,0,234
"Arkansas","Lafayette",1538,1806,27,5,4,3,0,0,0,0,0,0,0,0,0,0,0,39
"Arkansas","Lawrence",2626,3255,87,47,14,7,0,4,0,0,0,0,0,0,0,0,0,159
"Arkansas","Lee",1351,2727,18,14,4,1,0,6,0,0,0,0,0,0,0,0,0,43
"Arkansas","Lincoln",1526,1957,21,34,2,4,0,2,0,0,0,0,0,0,0,0,0,63
"Arkansas","Little River",2283,2883,50,28,7,9,0,3,0,0,0,0,0,0,0,0,0,97
"Arkansas","Logan",4487,3283,124,153,21,16,0,12,0,0,0,0,0,0,0,0,0,326
"Arkansas","Lonoke",10606,6851,237,170,58,14,0,7,0,0,0,0,0,0,0,0,0,486
"Arkansas","Madison",3387,2055,88,66,19,10,0,3,0,0,0,0,0,0,0,0,0,186
"Arkansas","Marion",3402,2233,220,74,30,47,0,9,0,0,0,0,0,0,0,0,0,380
"Arkansas","Miller",7276,6278,100,50,12,13,0,16,0,0,0,0,0,0,0,0,0,191
"Arkansas","Mississippi",5199,7107,110,54,83,8,0,25,0,0,0,0,0,0,0,0,0,280
"Arkansas","Monroe",1329,1910,29,19,4,0,0,2,0,0,0,0,0,0,0,0,0,54
"Arkansas","Montgomery",2128,1438,101,46,12,11,0,3,0,0,0,0,0,0,0,0,0,173
"Arkansas","Nevada",1796,1867,42,19,8,3,0,3,0,0,0,0,0,0,0,0,0,75
"Arkansas","Newton",2529,1205,112,52,13,11,0,5,0,0,0,0,0,0,0,0,0,193
"Arkansas","Ouachita",4739,5464,100,55,30,5,0,2,0,0,0,0,0,0,0,0,0,192
"Arkansas","Perry",2114,1648,61,71,21,17,0,75,0,0,0,0,0,0,0,0,0,245
"Arkansas","Phillips",3154,6018,75,28,6,26,0,6,0,0,0,0,0,0,0,0,0,141
"Arkansas","Pike",2275,1604,45,34,4,6,0,3,0,0,0,0,0,0,0,0,0,92
"Arkansas","Poinsett",2988,4102,87,44,5,6,0,3,0,0,0,0,0,0,0,0,0,145
"Arkansas","Polk",4600,2315,130,95,26,19,0,8,0,0,0,0,0,0,0,0,0,278
"Arkansas","Pope",11244,6669,259,153,62,29,0,6,0,0,0,0,0,0,0,0,0,509
"Arkansas","Prairie",1862,1563,29,45,6,1,0,1,0,0,0,0,0,0,0,0,0,82
"Arkansas","Pulaski",55866,68320,1756,595,416,77,0,121,0,0,0,0,0,0,0,0,0,2965
"Arkansas","Randolph",2673,3019,84,61,18,16,0,6,0,0,0,0,0,0,0,0,0,185
"Arkansas","St0 Francis",3414,4986,42,32,18,2,0,2,0,0,0,0,0,0,0,0,0,96
